,obs0,obs2
2019-07-01 00:01:00,0.0,0.0
2019-07-01 00:02:00,0.0,0.0
2019-07-01 00:03:00,0.5,0.5
2019-07-01 00:04:00,0.7,0.5
2019-07-01 00:05:00,1.0,1.0
2019-07-01 00:06:00,1.8,1.0
2019-07-01 00:07:00,2.8,1.0
2019-07-01 00:08:00,3.2,1.0
2019-07-01 00:09:00,3.5,2.0
2019-07-01 00:10:00,4.5,2.5
2019-07-01 00:11:00,4.0,4.5
2019-07-01 00:12:00,5.0,10.0
2019-07-01 00:13:00,5.2,15.0
2019-07-01 00:14:00,5.8,26.0
2019-07-01 00:15:00,6.0,27.0
2019-07-01 00:16:00,7.0,25.0
2019-07-01 00:17:00,6.0,18.0
2019-07-01 00:18:00,5.5,13.0
2019-07-01 00:19:00,5.0,6.5
2019-07-01 00:20:00,4.5,7.5
2019-07-01 00:21:00,4.5,6.0
2019-07-01 00:22:00,4.5,5.5
2019-07-01 00:23:00,4.5,4.0
2019-07-01 00:24:00,4.0,3.5
2019-07-01 00:25:00,4.0,4.0
2019-07-01 00:26:00,4.3,3.0
2019-07-01 00:27:00,4.2,3.0
2019-07-01 00:28:00,4.0,2.5
2019-07-01 00:29:00,3.0,2.5
2019-07-01 00:30:00,4.0,2.5
